Browse	Procházet
Line Type:	Typ čáry:
Cubic spline	Kubický splajn
B-spline	B-splajn
Apply a line curve model.	Použít model křivky z úseček.
Resolution:	Rozlišení:
Degree of polynomials:	Stupeň polynomů:
Set the resolution.	Nastavit rozlišení.
Set the degree of the polynomials.	Nastavit stupeň polynomů.
Start with horizontal line	Začínající vodorovnou čarou
Start with horizontal line and step up vertically at the end.	Začíná vodorovnou čarou a na konci vytváří svislý stupeň.
Step at the horizontal mean	Stupeň na vodorovném středu
Start to step up vertically and end with horizontal line.	Na začátku vytváří svislý stupeň a končí vodorovnou čarou.
End with horizontal line	Končící vodorovnou čarou
Step to the vertical mean	Stupeň na svislý střed
Type of Stepping	Typ stupňů
Allows you to manually enter the orientation angle.	Umožňuje ručně zadat úhel orientace textu.
Vertically stacked	Svisle zarovnané
Assigns vertical text orientation for cell contents.	Text v buňkách se bude zobrazovat svisle.
Text direction:	Směr textu:
Clicking anywhere on the wheel defines the variable text orientation.	Klepnutím kamkoliv na kolo určíte orientaci textu.
Text Orientation	Orientace textu
Scheme	Schéma
Simple	Jednoduché
Realistic	Realistické
Custom	Vlastní
Shading	Stínování
Applies Gouraud shading if marked, or flat shading if unmarked.	Pokud je zaškrtnuto, použije se Gouraudovo stínování, jinak se použije ploché stínování.
Object borders	Okraje objektů
Shows borders around the areas by setting the line style to Solid.	Zobrazí ohraničení kolem oblastí tím, že nastaví styl čáry na plný.
Rounded edges	Zaoblené hrany
Edges are rounded by 5%.	Okraje se o 5 % zaoblí.
Right-angled axes	Pravoúhlé osy
X rotation	Otočení X
Y rotation	Otočení Y
Z rotation	Otočení Z
Light source 1	Zdroj světla 1
Click to enable or disable the specular light source with highlights.	Klepnutím zapnete nebo vypnete odrazové světlo se zvýrazněním.
Light source 2	Zdroj světla 2
Click to enable or disable the uniform light source.	Klepnutím vypnete nebo zapnete jednotný zdroj světla.
Light source 3	Zdroj světla 3
Light source 4	Zdroj světla 4
Light source 5	Zdroj světla 5
Light source 6	Zdroj světla 6
Light source 7	Zdroj světla 7
Light source 8	Zdroj světla 8
Select a color for the selected light source.	Vyberte barvu vybraného zdroje světla.
Select a color using the color dialog	Vyberte barvu pomocí dialogu
Select a color using the color dialog.	Vyberte barvu pomocí dialogu pro výběr barvy.
Light Source	Zdroj světla
Select a color for the ambient light.	Vyberte barvu ambientního osvětlení.
Ambient Light	Ambientní osvětlení
Light Preview	Náhled osvětlení
Set the light sources for the 3D view.	Nastavení zdrojů světla pro 3D zobrazení.
Cross other axis at	Protnout další osu v
Start	Začátek
End	Konec
Enter the value where the axis line should cross the other axis.	Zadejte hodnotu, kde se osy protnou.
Select the category where the axis line should cross the other axis.	Vyberte kategorii, kde se osy protnou.
Axis between categories	Osa mezi kategoriemi
Axis Line	Přímka osy
On tick marks	Na značkách
Between tick marks	Mezi značkami
Position Axis	Umístění osy
Place labels	Umístění popisků
Near axis	Poblíž osy
Near axis (other side)	Poblíž osy (opačná strana)
Distance	Vzdálenost
Labels	Popisky
Major:	Hlavní:
Minor:	Vedlejší:
Inner	Vnitřní
Specifies that marks are placed on the inner side of the axis.	Určuje, že se značky zobrazí na vnitřní straně osy.
Outer	Vnější
Specifies that marks are placed on the outer side of the axis.	Určuje, že se značky zobrazí na vnější straně osy.
Place marks	Umístění značek
At labels	U popisků
At axis	U osy
At axis and labels	U osy a popisků
Interval Marks	Značky intervalu
Show major grid	Zobrazit hlavní mřížku
Show minor grid	Zobrazit vedlejší mřížku
More...	Více...
Choose a Chart Type	Zvolte typ grafu
Select a sub type of the basic chart type.	Zvolte variantu základního typu grafu.
Enables a 3D look for the data values.	Zapne 3D vzhled hodnot údajů.
Select the type of 3D look.	Zvolte typ 3D zobrazení.
Select a shape from the list.	Zvolte tvar ze seznamu.
Displays stacked series for Line charts.	Zobrazuje skládané datové řady pro čárové grafy.
Stack series display values on top of each other.	Skládané řady zobrazují hodnoty nad sebou.
Stack series display values as percent.	Skládané řady zobrazují hodnoty jako procenta.
Smooth	Vyhlazené
Choose the type of line to draw.	Zvolte typ vykreslované čáry.
Opens a dialog to set the line or curve properties.	Otevře dialog pro nastavení vlastností čáry nebo křivky.
Set the number of lines for the Column and Line chart type.	Určení počtu čar pro typ grafu Sloupce a čáry.
Select a basic chart type.	Zvolte základní typ grafu.
Displays the legend icons next to each data point label.	Zobrazí vedle každého popisku datového bodu ikonu z legendy.
Hide legend entry	Skrýt položku legendy
Do not show legend entry for the selected data series or data point.	Pro vybrané datové řady nebo datové body se nezobrazí položky legendy.
Legend Entry	Položka legendy
Data series:	Datové řady:
Up	Nahoru
Moves up the selected entry in the Data Series list.	Posune v seznamu Datové řady vybraný záznam výše.
Remove	Odebrat
Removes the selected entry from the Data Series list.	Odstraní vybraný záznam ze seznamu Datové řady.
Down	Dolů
Moves down the selected entry in the Data Series list.	Posune v seznamu Datové řady vybraný záznam níže.
Data ranges:	Oblasti dat:
Range for %VALUETYPE	Oblast pro %VALUETYPE
Data labels	Popisky dat
Customize Data Ranges for Individual Data Series	Upravte oblasti dat pro jednotlivé datové řady
Positions the legend at the left of the chart.	Umístí legendu nalevo od grafu.
Positions the legend at the right of the chart.	Umístí legendu napravo od grafu.
Positions the legend at the top of the chart.	Umístí legendu nad graf.
Positions the legend at the bottom of the chart.	Umístí legendu pod graf.
Specifies whether the legend should overlap the chart.	Určuje, zda má legenda překrývat graf.
Overlay	Překrytí
Clockwise direction	Po směru hodinových ručiček
Orientation	Orientace
Starting Angle	Počáteční úhel
Include values from hidden cells	Zahrnout hodnoty ze skrytých buněk
Plot Options	Možnosti grafu
Choose a Data Range	Zvolte oblast dat
Data range:	Oblast dat:
Data series in rows	Datové řady v řádcích
Data series in columns	Datové řady ve sloupcích
First row as label	První řádek jako popisek
First column as label	První sloupec jako popisek
Time based charting	Graf hodnot v čase
Start Table Index	Počáteční index tabulky
End Table Index	Koncový index tabulky
Logarithmic scale	Logaritmické měřítko
Specifies that you want the axis to be subdivided logarithmically.	Určuje, že chcete na ose použít logaritmické měřítko.
Automatic	Automaticky
Text	Text
Date	Datum
Minimum	Minimum
Maximum	Maximum
Defines the minimum value for the beginning of the axis.	Určuje minimální hodnotu zobrazenou na počátku osy.
Defines the maximum value for the end of the axis.	Určuje maximální hodnotu zobrazenou na konci osy.
Resolution	Rozlišení
Days	Dny
Months	Měsíce
Years	Roky
Major interval	Hlavní interval
Defines the interval for the main division of the axes.	Určuje interval hlavního dělení osy.
Minor interval	Vedlejší interval
Minor interval count	Počet vedlejších intervalů
Defines the interval for the subdivision of the axes.	Určuje vedlejší interval pro dělení osy.
Reference value	Referenční hodnota
Specifies at which position to display the values along the axis.	Určuje, kde se mají zobrazovat hodnoty osy.
Align Data Series to	Zarovnat datové řady na
Spacing	Rozestup
Overlap	Přesah
Defines the spacing between the columns in percent.	Určuje rozestup mezi sloupci v procentech.
Defines the necessary settings for overlapping data series.	Určuje nastavení pro přesahující datové řady.
Show bars side by side	Zobrazit sloupce vedle sebe
Connection lines	Spojovací čáry
Settings	Nastavení
Plot missing values	Vykreslit chybějící hodnoty
Leave gap	Nechat mezeru
Assume zero	Předpokládat nulu
Continue line	Pokračovat v přímce
A linear trend line is shown.	Zobrazí lineární spojnici trendu.
A logarithmic trend line is shown.	Zobrazí logaritmickou spojnici trendu.
An exponential trend line is shown.	Zobrazí exponenciální spojnici trendu.
A power trend line is shown.	Zobrazí mocninnou spojnici trendu.
A polynomial trend line is shown with a given degree.	Zobrazí polynomickou spojnici trendu daného stupně.
Degree	Stupeň
Degree of polynomial trend line.	Stupeň polynomické spojnice trendu.
Moving Average	Klouzavý průměr
A moving average trend line is shown with a given period.	Zobrazí spojnici trendu klouzavým průměrem s daným obdobím.
Period	Období
Number of points to calculate average of moving average trend line.	Počet bodů pro výpočet průměru ve spojnici trendu.
How the trend line is calculated.	Způsob výpočtu spojnice trendu.
Prior	Předchozí
Central	Střed
Averaged Abscissa	Zprůměrovaná úsečka
Regression Type	Typ regrese
Extrapolate Forward	Extrapolovat dopředu
Trend line is extrapolated for higher x-values.	Spojnice trendu je extrapolována pro větší hodnoty X.
Extrapolate Backward	Extrapolovat zpět
Trend line is extrapolated for lower x-values.	Spojnice trendu je extrapolována pro menší hodnoty X.
Force Intercept	Vynutit absolutní člen
Show Equation	Zobrazit rovnici
Shows the trend line equation next to the trend line.	Zobrazí vedle spojnice trendu její rovnici.
Show Coefficient of Determination (R²)	Zobrazit koeficient determinace (R²)
Shows the coefficient of determination next to the trend line.	Zobrazí vedle spojnice trendu koeficient determinace.
Trendline Name	Název spojnice trendu
Name of trend line in legend.	Název spojnice trendu v legendě.
Value of intercept if it is forced.	Hodnota absolutního členu, pokud je vynucena.
X Variable Name	Název proměnné X
Name of X variable in trend line equation.	Název proměnné X v rovnici spojnice trendu.
Y Variable Name	Název proměnné Y
Name of Y variable in trend line equation.	Název proměnné Y v rovnici spojnice trendu.
Specifies whether to show or hide the axis labels.	Určuje, zda se mají zobrazovat popisky os.
Tile	Dlaždice
Arranges numbers on the axis side by side.	Umístí čísla na ose vedle sebe.
Stagger odd	Předsunout liché
Staggers numbers on the axis, even numbers lower than odd numbers.	Rozloží čísla na ose. Sudá čísla budou níže než lichá čísla.
Stagger even	Předsunout sudé
Stagger numbers on the axis, odd numbers lower than even numbers.	Rozloží čísla na ose. Lichá čísla budou níže než sudá čísla.
Automatically arranges numbers on the axis.	Automaticky rozmístí čísla na ose.
Order	Uspořádání
Specifies that the text in cells may overlap other cells.	Určuje, že text v buňkách může přetéct do dalších buněk.
Break	Zalomení
Allows a text break.	Povolí zalomení textu.
Text Flow	Tok textu
Degrees	Stupně
Enter a label for the x-axis (horizontal).	Zadejte popis osy x (vodorovná).
Enter a label for the y-axis (vertical).	Zadejte popis osy y (svislá).
Enter a title for your chart.	Zadejte nadpis grafu.
Enter a subtitle for your chart.	Zadejte podnadpis grafu.
Specifies whether to display a legend for the chart.	Určuje, zda se má zobrazovat legenda grafu.
Choose Titles, Legend, and Grid Settings	Nastavte popisy, legendu a mřížky
Displays grid lines that are perpendicular to the x-axis.	Zobrazí čáry mřížky kolmé na osu x.
Displays grid lines that are perpendicular to the y-axis.	Zobrazí čáry mřížky kolmé na osu y.
Display Grids	Zobrazit mřížky
No connection to the database exists.	Neexistuje spojení s databází.
The input stream was not set.	Nebyl nastaven vstupní stream.
There is no element named “$name$”.	Element pojmenovaný „$name$“ neexistuje.
Invalid bookmark value	Neplatná hodnota záložky
Privilege not granted: Only table privileges can be granted.	Právo nepřiděleno: Lze přidělit pouze práva k tabulkám.
Privilege not revoked: Only table privileges can be revoked.	Právo neodebráno: Lze odebrat pouze práva k tabulkám.
Function sequence error.	Chyba sekvence funkcí.
Invalid descriptor index.	Neplatný deskriptor indexu.
The driver does not support the function “$functionname$”.	Ovladač nepodporuje funkci „$functionname$“.
The formula for TypeInfoSettings is wrong!	Vzorec pro TypeInfoSettings je špatný!
The connection URL is invalid.	URL spojení je neplatné.
The query cannot be executed. It is too complex.	Dotaz nelze spustit. Je příliš složitý.
The query cannot be executed. The operator is too complex.	Dotaz nelze spustit. Operátor je příliš složitý.
The query cannot be executed. The “NOT LIKE” condition is too complex.	Dotaz nelze spustit. Podmínka „NOT LIKE“ je příliš složitá.
The column name “$columnname$” is not valid.	Sloupec „$columnname$“ je neplatný.
The statement contains an invalid selection of columns.	Výraz obsahuje neplatné sloupce.
The file $filename$ could not be loaded.	Nelze načíst soubor $filename$.
The type could not be converted.	Typ nelze převést.
Could not append column: invalid column descriptor.	Nelze připojit sloupec: neplatný deskriptor sloupce.
