Check for Updates...	Zkontrolovat aktualizace...
Scan Area	Skenovat oblast
Preview	Náhled
Device used	Použité zařízení
Resolution [DPI]	Rozlišení [DPI]
Show advanced options	Zobrazit pokročilé možnosti
Options:	Možnosti:
Set	Nastavit
Vector element	Vektorový prvek
Help	Nápověda
Character	Znak
Font	Písmo
Font Effects	Efekty pro písmo
New Data Type	Nový datový typ
Type a name for the new data type:	Zadejte název nového datového typu:
Link fields	Propojit pole
Suggest	Doporučit
Sub forms can be used to display detailed data about the current record of the master form. To do this, you can specify which columns in the sub form match which columns in the master form.	Podformuláře lze využít k zobrazení podrobných údajů o aktuálním záznamu hlavního formuláře. Je možné určit, které sloupce podformuláře a hlavního formuláře si odpovídají.
label	popisek
label	popisek
Activate link	Aktivovat odkaz
Label Field Selection	Výběr pole pro popisek
These are control fields that can be used as label fields for the $controlclass$ $controlname$.	Toto jsou ovládací pole, která mohou být použita jako pole popisků pro $controlclass$ $controlname$.
No assignment	Bez přiřazení
Multiline Editing	Víceřádková úprava
Tab Order	Pořadí aktivace
Lists all controls in the form. These controls can be selected with the tab key in the given order from top to bottom.	Vypíše všechny ovládací prvky ve formuláři. Tyto ovládací prvky se při stisku klávesy Tab aktivují v pořadí shora dolů.
Move Up	Přesunout nahoru
Move Down	Přesunout dolů
Automatic Sort	Automaticky seřadit
Controls	Ovládací prvky
Firefox	Firefox
Select this option if you already use an address book in Firefox or Iceweasel.	Pokud používáte adresář v aplikacích Firefox nebo Iceweasel, zvolte tuto možnost.
"To incorporate the address data in your templates, %PRODUCTNAME has to know which fields contain which data.

For instance, you could have stored the e-mail addresses in a field named ""email"", or ""E-mail"" or ""EM"" - or something completely different.

Click the button below to open another dialog where you can enter the settings for your data source."	"Pro využití adres v šablonách %PRODUCTNAME je nutné nastavit, která pole obsahují jaká data.

E-mailové adresy můžete mít například uloženy v poli s názvem ""email"", ""E-mail"", ""EM"" nebo nějakým úplně jiným.

Klepnutím na níže uvedené tlačítko otevřete dialog, ve kterém můžete nastavit přiřazení polí pro svůj zdroj dat."
Table element	Prvek tabulky
Table element	Prvek tabulky
Scan area	Skenovat oblast
Table	Tabulka
Search Key	Hledat klíčové slovo
Help	Nápověda
Returns the serial number of the date before or after a specified number of workdays	Vrátí pořadové číslo data o zadaný počet pracovních dní vpřed nebo vzad proti výchozímu datu
Start date	Počáteční datum
The start date	Počáteční datum
Days	Dny
The number of workdays before or after the start date	Počet pracovních dnů před nebo po počátečním datu
Holidays	Svátky
List of date values of days off (vacation, holidays, etc.)	Seznam dat volných dní (významné dny, svátky apod.)
Returns the number of years (including fractional part) between two dates	Vrátí počet roků (včetně zlomkové části) mezi dvěma daty
Start date	Počáteční datum
The start date	Počáteční datum
End date	Koncové datum
The end date	Koncové datum
Basis	Základ
Basis indicates the day-count convention to use in the calculation	Základ určuje, podle jaké metody bude při výpočtu stanoven počet dnů
Returns the serial number of the date that is a specified number of months before or after the start date	Vrátí pořadové číslo data, které je o zadaný počet měsíců vpřed nebo vzad proti výchozímu datu
Start date	Počáteční datum
The start date	Počáteční datum
Months	Měsíce
Number of months before or after the start date	Počet měsíců před nebo po výchozím datu
"Returns the number of the calendar week in which the specified date occurs.
This function exists for interoperability with older Microsoft Excel documents, for new documents use WEEKNUM instead."	"Vrátí číslo kalendářního týdne, ve kterém se objeví zadané datum.
Tato funkce existuje pouze kvůli interoperabilitě se staršími dokumenty programu Microsoft Excel, v novějších dokumentech místo ní použijte funkci WEEKNUM."
Date	Datum
The date or date serial number	Datum nebo pořadové číslo data
Return type	Návratový typ
Indicates the first day of the week (1 = Sunday, 2 = Monday)	Určuje první den v týdnu (1 = neděle, 2 = pondělí)
Returns the serial number of the last day of the month that comes a certain number of months before or after the start date	Vrátí pořadové číslo posledního dne v měsíci, který bude o zadaný počet měsíců před nebo po výchozím datu
Start date	Počáteční datum
The start date	Počáteční datum
Months	Měsíce
Number of months before or after the start date	Počet měsíců před nebo po výchozím datu
"Returns the number of workdays between two dates.
This function exists for interoperability with older Microsoft Excel documents, for new documents use NETWORKDAYS instead."	"Vrátí počet pracovních dní mezi dvěma daty.
Tato funkce existuje pouze kvůli interoperabilitě se staršími dokumenty programu Microsoft Excel, v novějších dokumentech místo ní použijte funkci NETWORKDAYS."
Start date	Počáteční datum
The start date	Počáteční datum
End date	Koncové datum
The end date	Koncové datum
Holidays	Svátky
List of date values representing days off (vacation, holidays, etc.)	Seznam dat reprezentujících volné dny (dny pracovního klidu, svátky apod.)
Returns the value 'true' if the number is even	Vrátí hodnotu 'pravda', je-li číslo sudé
Number	Číslo
The number	Číslo
Returns the value 'true' if the number is odd	Vrátí hodnotu 'pravda', je-li číslo liché
Number	Číslo
The number	Číslo
Returns the multinomial coefficient of a set of numbers	Vrátí koeficienty polynomu zadaných čísel
Number	Číslo
Number or list of numbers for which you want the multinomial coefficient	Číslo nebo seznam čísel, pro které chcete zjistit koeficienty polynomu
Returns the sum of a power series	Vrátí součet mocninné řady
X	X
The independent variable of the power series	Nezávislá proměnná mocninné řady
N	N
The initial power to which x is to be raised	Počáteční mocnina hodnoty X
M	M
The increment by which to increase n for each term in the series	Hodnota, o kterou se bude zvyšovat argument N pro každý člen řady
Coefficients	Koeficienty
Set of coefficients by which each successive power of the variable x is multiplied	Množina koeficientů, kterými budou mocniny proměnné X vynásobeny
Returns the integer portion of a division	Vrací celočíselnou část po vydělení
Numerator	Čitatel
The dividend	Dělenec
Denominator	Jmenovatel
The divisor	Dělitel
Returns a number rounded to a specified multiple	Vrátí číslo zaokrouhlené na zadaný násobek
Number	Číslo
The number to round off	Číslo k zaokrouhlení
Multiple	Násobek
The multiple to which you want to round number	Násobek, na který chcete číslo zaokrouhlit
Returns the square root of a number which has been multiplied by pi	Vrátí druhou odmocninu čísla vynásobeného číslem pí
Number	Číslo
The number by which pi is multiplied	Číslo, kterým je PI vynásobeno
Returns a random integer between the numbers you specify	Vrátí náhodné celé číslo v zadaném intervalu
Bottom	Dolní mez
The smallest integer returned	Nejmenší vrácené celé číslo
Top	Horní mez
The largest integer returned	Největší vrácené celé číslo
"Returns the greatest common divisor.
This function exists for interoperability with older Microsoft Excel documents, for new documents use GCD instead."	"Vrátí největšího společného dělitele.
Tato funkce existuje pouze kvůli interoperabilitě se staršími dokumenty programu Microsoft Excel, v novějších dokumentech místo ní použijte funkci GCD."
Number	Číslo
Number or list of numbers	Číslo nebo seznam čísel
"Returns the least common multiple.
This function exists for interoperability with older Microsoft Excel documents, for new documents use LCM instead."	"Vrátí nejmenší společný násobek.
Tato funkce existuje pouze kvůli interoperabilitě se staršími dokumenty programu Microsoft Excel, v novějších dokumentech místo ní použijte funkci LCM."
Number	Číslo
Number or list of numbers	Číslo nebo seznam čísel
Returns the modified Bessel function In(x)	Vrátí modifikovanou Besselovu funkci In(x)
X	X
The value at which the function is to be evaluated	Hodnota, pro kterou je funkce vyhodnocena
N	N
The order of the Bessel function	Řád Besselovy funkce
Returns the Bessel function Jn(x)	Vrátí Besselovu funkci Jn(x)
X	X
The value at which the function is to be evaluated	Hodnota, pro kterou je funkce vyhodnocena
N	N
The order of the Bessel function	Řád Besselovy funkce
Returns the Bessel function Kn(x)	Vrátí Besselovu funkci Kn(x)
X	X
The value at which the function is to be evaluated	Hodnota, pro kterou je funkce vyhodnocena
N	N
The order of the Bessel function	Řád Besselovy funkce
Returns the Bessel function Yn(x)	Vrátí Besselovu funkci Yn(x)
X	X
The value at which the function is to be evaluated	Hodnota, pro kterou je funkce vyhodnocena
N	N
The order of the Bessel function	Řád Besselovy funkce
Converts a binary number to an octal number	Převede číslo vyjádřené ve dvojkové soustavě do soustavy osmičkové
Number	Číslo
The binary number to be converted (as text)	Převáděné číslo ve dvojkové soustavě (zadané jako text)
Places	Míst
Number of places used	Počet použitých míst
Converts a binary number to a decimal number	Převádí číslo vyjádřené ve dvojkové soustavě do soustavy desítkové
Number	Číslo
The binary number to be converted (as text)	Převáděné číslo ve dvojkové soustavě (zadané jako text)
Converts a binary number to a hexadecimal number	Převádí číslo vyjádřené ve dvojkové soustavě do soustavy šestnáctkové
Number	Číslo
The binary number to be converted (as text)	Převáděné číslo ve dvojkové soustavě (zadané jako text)
Places	Míst
Number of places used.	Počet použitých míst.
Converts an octal number to a binary number	Převádí číslo vyjádřené v osmičkové soustavě do dvojkové soustavy
Number	Číslo
The octal number to be converted (as text)	Převáděné číslo v osmičkové soustavě (zadané jako text)
Places	Míst
Number of places used	Počet použitých míst
Converts an octal number to a decimal number	Převádí číslo vyjádřené v osmičkové soustavě do soustavy desítkové
Number	Číslo
The octal number to be converted (as text)	Převáděné číslo v osmičkové soustavě (zadané jako text)
Converts an octal number to a hexadecimal number	Převádí číslo vyjádřené v osmičkové soustavě do soustavy šestnáctkové
Number	Číslo
The octal number to be converted (as text)	Převáděné číslo v osmičkové soustavě (zadané jako text)
Places	Míst
Number of places used	Počet použitých míst
Converts a decimal number to a binary number	Převádí číslo vyjádřené v desítkové soustavě do soustavy dvojkové
Number	Číslo
The decimal integer to be converted	Převáděné celé číslo
Places	Míst
Number of places used	Počet použitých míst
Converts a decimal number to a hexadecimal number	Převádí číslo vyjádřené v desítkové soustavě do soustavy šestnáctkové
Number	Číslo
The decimal integer to be converted	Převáděné celé číslo
Places	Míst
Number of places used	Počet použitých míst
Converts a decimal number into an octal number	Převádí číslo vyjádřené v desítkové soustavě do soustavy osmičkové
Number	Číslo
The decimal number	Desetinné číslo
Places	Míst
Number of places used	Počet použitých míst
Converts a hexadecimal number to a binary number	Převádí číslo vyjádřené v šestnáctkové soustavě do soustavy dvojkové
Number	Číslo
The hexadecimal number to be converted (as text)	Převáděné číslo v šestnáctkové soustavě (zadané jako text)
Places	Míst
Number of places used	Počet použitých míst
Converts a hexadecimal number to a decimal number	Převádí číslo vyjádřené v šestnáctkové soustavě do soustavy desítkové
Number	Číslo
The hexadecimal number to be converted (as text)	Převáděné číslo v šestnáctkové soustavě (zadané jako text)
Converts a hexadecimal number to an octal number	Převádí číslo vyjádřené v šestnáctkové soustavě do soustavy osmičkové
Number	Číslo
The hexadecimal number to be converted (as text)	Převáděné číslo v šestnáctkové soustavě (zadané jako text)
Places	Míst
Number of places used	Počet použitých míst
Tests whether two values are equal	Testuje, zda jsou dvě hodnoty stejné
